Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Man. City,"Estadio Santiago Bernabéu, Madrid",0,Not Provided,0,5,0,Not Provided,5,2,47%,454,Not Provided,394,107.4 km,44,3,11,5,3,0,10
Bayern,"Football Arena Munich, Munich",2,Not Provided,12,13,9,Not Provided,12,3,68%,668,Not Provided,591,115.5 km,39,2,7,1,1,0,14
Atlético,"Football Arena Munich, Munich",1,Not Provided,4,13,1,Not Provided,12,2,32%,212,Not Provided,154,119.7 km,47,5,36,9,1,0,10
Atlético,"Estadio Vicente Calderón, Madrid",1,Not Provided,5,2,4,Not Provided,5,2,31%,209,Not Provided,150,118.5 km,51,4,22,4,1,0,7
Bayern,"Estadio Vicente Calderón, Madrid",0,Not Provided,7,2,4,Not Provided,5,0,69%,729,Not Provided,654,112.3 km,50,3,13,4,4,0,11
Man. City,"City of Manchester Stadium, Manchester",0,Not Provided,2,2,1,Not Provided,4,1,48%,507,Not Provided,425,113.2 km,62,6,24,3,1,0,20
Real Madrid,"City of Manchester Stadium, Manchester",0,Not Provided,3,2,3,Not Provided,4,2,52%,595,Not Provided,519,112.7 km,64,2,14,1,2,0,12
Benfica,"Estádio do Sport Lisboa e Benfica, Lisbon",2,Not Provided,5,2,2,Not Provided,3,2,32%,248,Not Provided,187,110.6 km,41,3,11,2,2,0,9
Bayern,"Estádio do Sport Lisboa e Benfica, Lisbon",2,Not Provided,7,2,2,Not Provided,3,3,68%,714,Not Provided,660,110.5 km,48,1,7,2,1,0,10
Atlético,"Estadio Vicente Calderón, Madrid",2,Not Provided,6,2,1,Not Provided,1,2,28%,170,Not Provided,122,114.6 km,39,2,25,5,4,0,20
Barcelona,"Estadio Vicente Calderón, Madrid",0,Not Provided,4,2,5,Not Provided,1,0,72%,675,Not Provided,616,102.6 km,41,0,9,1,4,0,10
Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,Not Provided,7,5,4,Not Provided,12,5,56%,589,Not Provided,525,107.4 km,40,1,12,3,1,0,10
Wolfsburg,"Estadio Santiago Bernabéu, Madrid",0,Not Provided,3,5,3,Not Provided,12,3,44%,449,Not Provided,378,105.7 km,44,5,18,4,4,0,9
Man. City,"City of Manchester Stadium, Manchester",1,Not Provided,1,8,2,Not Provided,6,2,38%,343,Not Provided,289,103.0 km,60,1,10,1,1,0,18
Paris,"City of Manchester Stadium, Manchester",0,Not Provided,5,8,1,Not Provided,6,4,62%,681,Not Provided,607,98.0 km,40,3,10,2,3,0,13
Paris,"Parc des Princes, Paris",2,Not Provided,5,7,4,Not Provided,4,2,64%,724,Not Provided,658,102.3 km,50,1,11,2,2,0,6
Man. City,"Parc des Princes, Paris",2,Not Provided,3,7,2,Not Provided,4,1,36%,327,Not Provided,271,106.2 km,51,6,21,4,4,0,15
Wolfsburg,"VfL Wolfsburg Arena, Wolfsburg",2,Not Provided,7,3,0,Not Provided,1,0,42%,409,Not Provided,346,110.4 km,59,6,16,5,4,0,13
Real Madrid,"VfL Wolfsburg Arena, Wolfsburg",0,Not Provided,3,3,5,Not Provided,1,7,58%,674,Not Provided,611,105.8 km,59,2,7,0,1,0,8
Barcelona,"Camp Nou, Barcelona",2,Not Provided,5,8,6,Not Provided,2,3,68%,687,Not Provided,631,106.7 km,41,5,5,3,3,0,19
Atlético,"Camp Nou, Barcelona",1,Not Provided,2,8,3,Not Provided,2,0,32%,219,Not Provided,164,109.2 km,42,3,23,6,8,1,16
Bayern,"Football Arena Munich, Munich",1,Not Provided,5,8,2,Not Provided,5,5,64%,665,Not Provided,591,114.1 km,44,1,8,5,2,0,11
Benfica,"Football Arena Munich, Munich",0,Not Provided,1,8,5,Not Provided,5,2,36%,287,Not Provided,219,113.3 km,42,2,17,2,2,0,12
Barcelona,"Camp Nou, Barcelona",3,Not Provided,8,5,4,Not Provided,7,2,62%,746,Not Provided,670,106.8 km,53,5,11,7,1,0,8
Arsenal,"Camp Nou, Barcelona",1,Not Provided,4,5,7,Not Provided,7,1,38%,408,Not Provided,342,111.3 km,52,2,16,4,4,0,11
Bayern,"Football Arena Munich, Munich",4,Not Provided,8,8,10,Not Provided,5,2,69%,925,Not Provided,856,151.8 km,53,3,6,2,5,0,19
Juventus,"Football Arena Munich, Munich",2,Not Provided,11,8,2,Not Provided,5,3,31%,265,Not Provided,217,153.6 km,45,0,24,10,7,0,26
Atlético,"Estadio Vicente Calderón, Madrid",0,Not Provided,6,12,6,Not Provided,10,5,51%,684,Not Provided,605,158.7 km,76,1,16,4,0,0,8
PSV,"Estadio Vicente Calderón, Madrid",0,Not Provided,1,12,3,Not Provided,10,0,49%,483,Not Provided,387,152.3 km,65,5,38,6,4,0,17
Man. City,"City of Manchester Stadium, Manchester",0,Not Provided,1,6,0,Not Provided,2,3,46%,460,Not Provided,396,109.9 km,49,1,12,1,1,0,11
Dynamo Kyiv,"City of Manchester Stadium, Manchester",0,Not Provided,4,6,1,Not Provided,2,3,54%,563,Not Provided,488,116.6 km,36,3,9,0,2,0,12
Chelsea,"Stamford Bridge, London",1,Not Provided,9,3,5,Not Provided,5,2,42%,452,Not Provided,395,103.5 km,50,5,7,3,3,0,16
