,Unnamed: 0,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London",Home_game
140,140,Juventus,0.428571428571429,0.351351351351351,0.615384615384615,0.266666666666667,0.166666666666667,0,0.384615384615385,0.111111111111111,0.136363636363636,0.118790496760259,0.576240646132319,0.121076233183857,0.219092331768388,0.262295081967213,0.545454545454545,0.435897435897436,0.333333333333333,0.5,0,0.782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,141,Barcelona,0,0.27027027027027,0.230769230769231,0.266666666666667,0.333333333333333,0,0.384615384615385,0.111111111111111,0.863636363636364,0.479481641468683,0.932871664911283,0.491031390134529,0.076682316118936,0.229508196721311,0.181818181818182,0.333333333333333,0.166666666666667,0.375,0,0.652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,Atlético,0,0.324324324324324,0.307692307692308,0.333333333333333,0.333333333333333,0,0.538461538461538,0,0.386363636363636,0.269978401727862,0.454433680283214,0.23542600896861,0.287949921752739,0.524590163934426,0.363636363636364,0.384615384615385,0.333333333333333,0.25,0,0.130434782608696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,143,Leverkusen,0,0.405405405405405,0.538461538461538,0.333333333333333,0.333333333333333,0,0.538461538461538,0.111111111111111,0.613636363636364,0.408207343412527,0.682932878992852,0.384529147982063,0.300469483568075,0.524590163934426,0.454545454545455,0.435897435897436,0.333333333333333,0.25,0,0.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,Monaco,0.428571428571429,0.189189189189189,0.307692307692308,0.066666666666667,0.25,0,0.230769230769231,0.111111111111111,0.295454545454545,0.163066954643629,0.408548094298358,0.143497757847534,0.189358372456964,0.40983606557377,0.545454545454545,0.512820512820513,0.083333333333333,0.375,0,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
145,145,Man. City,0.142857142857143,0.108108108108108,0.230769230769231,0.066666666666667,0.083333333333333,0,0.230769230769231,0.555555555555556,0.704545454545455,0.393088552915767,0.68941479331278,0.37219730941704,0.248826291079812,0.327868852459016,0.090909090909091,0.307692307692308,0.25,0.375,0,0.434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146,146,Juventus,0.142857142857143,0.378378378378378,0.230769230769231,0.533333333333333,0.333333333333333,0,0.307692307692308,0.111111111111111,0.772727272727273,0.637149028077754,0.932045204270507,0.640134529147982,0.230046948356808,0.278688524590164,0,0.076923076923077,0.25,0.125,0,0.434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,147,Porto,0,0.324324324324324,0.153846153846154,0.533333333333333,0.25,0,0.307692307692308,0,0.227272727272727,0.230021598272138,0.662476748686671,0.225336322869955,0.128325508607199,0.39344262295082,0.181818181818182,0.41025641025641,0.333333333333333,0.25,1,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,Leicester,0.285714285714286,0.324324324324324,0.307692307692308,0.266666666666667,0.416666666666667,0,0.153846153846154,0.222222222222222,0.090909090909091,0.031317494600432,0.112225320101026,0.02017937219731,0.150234741784038,0.40983606557377,0.181818181818182,0.948717948717949,0.166666666666667,0.5,0,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,149,Sevilla,0,0.27027027027027,0.384615384615385,0.266666666666667,0.166666666666667,0.333333333333333,0.153846153846154,0,0.909090909090909,0.389848812095032,0.745372873810679,0.37780269058296,0.178403755868545,0.278688524590164,0.454545454545455,0.205128205128205,0.416666666666667,0.375,1,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,Dortmund,0.571428571428571,0.324324324324324,0.461538461538462,0.466666666666667,0,0.333333333333333,0.384615384615385,1,0.590909090909091,0.327213822894169,0.788100379382642,0.327354260089686,0.2660406885759,0.426229508196721,0.454545454545455,0.307692307692308,0.166666666666667,0.375,0,0.434782608695652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,151,Benfica,0,0.27027027027027,0.153846153846154,0.466666666666667,0.166666666666667,0,0.384615384615385,0.111111111111111,0.409090909090909,0.236501079913607,0.408957795070021,0.202914798206278,0.190923317683881,0.295081967213115,0.363636363636364,0.153846153846154,0,0.125,0,0.608695652173913,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,Barcelona,0.857142857142857,0.432432432432432,0.538461538461538,0.333333333333333,0.416666666666667,0,0.461538461538462,0.333333333333333,0.840909090909091,0.454643628509719,0.766251902894208,0.439461883408072,0.172143974960876,0.524590163934426,0.363636363636364,0.102564102564103,0.083333333333333,0.625,0,0.565217391304348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,153,Paris,0.142857142857143,0.216216216216216,0.230769230769231,0.333333333333333,0.083333333333333,0.333333333333333,0.461538461538462,0.555555555555556,0.159090909090909,0.087473002159827,0.212835554945966,0.068385650224215,0.244131455399061,0.295081967213115,0.545454545454545,0.538461538461538,0.416666666666667,0.625,0,0.956521739130435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,Arsenal,0.142857142857143,0.216216216216216,0.230769230769231,0.4,0,0.333333333333333,0.384615384615385,0.333333333333333,0.340909090909091,0.273218142548596,0.664954393763833,0.263452914798206,0.162754303599374,0.262295081967213,0.545454545454545,0.230769230769231,0.25,0.375,1,0.434782608695652,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,155,Bayern,0.714285714285714,0.405405405405405,0.538461538461538,0.4,0.25,0.333333333333333,0.384615384615385,0.444444444444444,0.659090909090909,0.439524838012959,0.883396859841944,0.445067264573991,0.242566510172144,0.459016393442623,0.272727272727273,0.461538461538462,0,0.25,0,0.304347826086957,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
