Players,Embeddings
"('Germain', 'Monaco')","[0.22777778 0.02678571 0.0625     0.125      0.         0.00735294
 0.         0.07142857 0.        ]"
"('Elderson', 'Monaco')","[0.26111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Leonardo Jardim', 'Monaco(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sergi Roberto', 'Barcelona')","[0.61005291 0.02721088 0.04761905 0.04761905 0.         0.0280112
 0.05238095 0.0952381  0.01360544]"
"('Sirigu\n (GK)', 'Paris')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Cabaye', 'Paris')","[0.86666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Marquinhos', 'Paris')","[0.92857143 0.01530612 0.         0.         0.         0.02941176
 0.12142857 0.10204082 0.01020408]"
"('Cavani', 'Paris')","[0.76068376 0.0989011  0.15384615 0.38461538 0.         0.00452489
 0.03076923 0.08791209 0.06593407]"
"('Ibrahimović', 'Paris')","[1.         0.1122449  0.17857143 0.42857143 0.04761905 0.05042017
 0.         0.06122449 0.08163265]"
"('Matuidi', 'Paris')","[0.9617284  0.01587302 0.02777778 0.         0.03703704 0.04575163
 0.08888889 0.15873016 0.        ]"
"('Maxwell', 'Paris')","[0.88888889 0.         0.         0.         0.         0.04575163
 0.06666667 0.         0.01587302]"
"('Van der Wiel', 'Paris')","[0.53472222 0.         0.         0.         0.         0.03676471
 0.0125     0.03571429 0.        ]"
"('Verratti', 'Paris')","[0.94       0.00714286 0.025      0.         0.03333333 0.01176471
 0.06       0.18571429 0.        ]"
"('Pastore', 'Paris')","[0.2959596  0.00649351 0.         0.         0.         0.00534759
 0.         0.         0.        ]"
"('David Luiz', 'Paris')","[0.96666667 0.         0.         0.14285714 0.         0.00840336
 0.18571429 0.06122449 0.        ]"
"('Douchez\n (GK)', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Camara', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Moura', 'Paris')","[0.475      0.0625     0.09375    0.         0.         0.10294118
 0.0375     0.07142857 0.01785714]"
"('Bahebeck', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Digne', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lavezzi', 'Paris')","[0.52777778 0.         0.         0.         0.08333333 0.
 0.         0.         0.        ]"
"('Rabiot', 'Paris')","[0.65833333 0.0297619  0.08333333 0.25       0.         0.01960784
 0.08333333 0.22619048 0.        ]"
